layer,Team,AAV
Juan Soto,NYM,"$51,000,000"
Shohei Ohtani,LAD,"$70,000,000"
Vladimir Guerrero Jr.,TOR,"$35,714,286"
Mike Trout,LAA,"$35,541,667"
Mookie Betts,LAD,"$30,416,667"
Aaron Judge,NYY,"$40,000,000"
Manny Machado,SD,"$31,818,182"
Francisco Lindor,NYM,"$34,100,000"
Fernando Tatis Jr.,SD,"$24,285,714"
Bryce Harper,PHI,"$25,384,615"
Yoshinobu Yamamoto,LAD,"$27,083,333"
Corey Seager,TEX,"$32,500,000"
Giancarlo Stanton,NYY,"$25,000,000"
Gerrit Cole,NYY,"$36,000,000"
Rafael Devers,SF,"$31,350,000"
Trea Turner,PHI,"$27,272,727"
Bobby Witt Jr.,KC,"$26,252,525"
Xander Bogaerts,SD,"$25,454,545"
Nolan Arenado,ARI,"$32,500,000"
Anthony Rendon,LAA,"$35,000,000"
Kyle Tucker,LAD,"$60,000,000"
Max Fried,NYY,"$27,250,000"
Austin Riley,ATL,"$21,200,000"
Dylan Cease,TOR,"$30,000,000"
Corbin Burnes,ARI,"$35,000,000"
Julio Rodriguez,SEA,"$17,441,667"
Carlos Correa,HOU,"$33,333,333"
Christian Yelich,MIL,"$26,928,571"
Jacob deGrom,TEX,"$37,000,000"
Willy Adames,SF,"$26,000,000"
Blake Snell,LAD,"$36,400,000"
Kris Bryant,COL,"$26,000,000"
Wander Franco,TB,"$16,545,455"
Dansby Swanson,CHC,"$25,285,714"
Jose Ramirez,CLE,"$25,000,000"
Alex Bregman,CHC,"$35,000,000"
Marcus Semien,NYM,"$25,000,000"
Aaron Nola,PHI,"$24,571,429"
Garrett Crochet,BOS,"$28,333,333"
Matt Olson,ATL,"$21,000,000"
Cody Bellinger,NYY,"$32,500,000"
Carlos Rodon,NYY,"$27,000,000"
Brandon Nimmo,TEX,"$20,250,000"
Freddie Freeman,LAD,"$27,000,000"
Pete Alonso,BAL,"$31,000,000"
Matt Chapman,SF,"$25,166,667"
Kevin McGonigle,DET,"$18,750,000"
Kyle Schwarber,PHI,"$30,000,000"
George Springer,TOR,"$25,000,000"
Nico Hoerner,CHC,"$23,500,000"
Konnor Griffin,PIT,"$15,555,556"
Will Smith,LAD,"$14,000,000"
Trevor Story,BOS,"$23,333,333"
Javier Baez,DET,"$23,333,333"
Tyler Glasnow,LAD,"$27,312,500"
Jesus Luzardo,PHI,"$27,000,000"
Jackson Merrill,SD,"$15,000,000"
Jose Berrios,TOR,"$18,714,286"
Ranger Suarez,BOS,"$26,000,000"
Roman Anthony,BOS,"$16,250,000"
Bo Bichette,NYM,"$42,000,000"
Zack Wheeler,PHI,"$42,000,000"
Jose Altuve,HOU,"$25,000,000"
Ketel Marte,ARI,"$19,416,667"
Pete Crow-Armstrong,CHC,"$19,166,667"
Framber Valdez,DET,"$38,333,333"
Yordan Alvarez,HOU,"$19,166,667"
Robbie Ray,SD,"$23,000,000"
Jung Hoo Lee,SF,"$18,833,333"
JJ Wetherholt,STL,"$14,062,500"
Corbin Carroll,ARI,"$13,875,000"
Kevin Gausman,CHC,"$22,000,000"
Yu Darvish,SD,"$18,000,000"
Luis Castillo,CHW,"$21,600,000"
Bryan Reynolds,PIT,"$13,343,750"
Andres Gimenez,TOR,"$15,214,286"
Chase Burns,CIN,"$15,000,000"
Cal Raleigh,SEA,"$17,500,000"
Cristopher Sanchez,PHI,"$17,333,333"
Joe Musgrove,SD,"$20,000,000"
