"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",18,58,226,28,"MIN",14.285714,0.426,0.0298200005964,"Overvalued"
"Yordan Alvarez",22,75,241,48,"HOU",19.166667,0.533,0.0278086951685444,"Overvalued"
"Tyler Soderstrom",10,55,232,34,"ATH",12.285714,0.305,0.024825581972688,"Overvalued"
"Corbin Carroll",10,65,228,31,"ARI",13.875,0.335,0.0241441441441441,"Overvalued"
"Willson Contreras",13,64,218,39,"BOS",17.5,0.374,0.0213714285714286,"Overvalued"
"Matt Olson",17,69,258,47,"ATL",21,0.445,0.0211904761904762,"Overvalued"
"Bryan Reynolds",6,61,232,39,"PIT",13.34375,0.267,0.0200093676814988,"Overvalued"
"Ronald Acuña Jr.",7,49,193,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Pete Crow-Armstrong",11,63,244,32,"CHC",19.166667,0.343,0.0178956518626843,"Overvalued"
"Ketel Marte",11,60,244,37,"ARI",19.416667,0.334,0.017201716442889,"Overvalued"
"Jackson Chourio",4,39,128,17,"MIL",10.25,0.173,0.0168780487804878,"Overvalued"
"Kyle Schwarber",23,57,239,40,"PHI",30,0.493,0.0164333333333333,"Overvalued"
"Seiya Suzuki",9,47,190,21,"CHC",17,0.267,0.0157058823529412,"Overvalued"
"Josh Naylor",7,64,245,30,"SEA",18.5,0.29,0.0156756756756757,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Bryce Harper",14,60,230,37,"PHI",25.384615,0.376,0.0148121214365473,"Overvalued"
"Jackson Merrill",6,46,232,24,"SD",15,0.222,0.0148,"Overvalued"
"Andrew Benintendi",6,44,186,30,"CHW",15,0.216,0.0144,"Overvalued"
"Jung Hoo Lee",3,75,225,22,"SF",18.833333,0.267,0.0141769914013627,"Overvalued"
"Kevin McGonigle",4,69,237,24,"DET",18.75,0.263,0.0140266666666667,"Overvalued"
"Brandon Nimmo",7,60,241,22,"TEX",20.25,0.278,0.0137283950617284,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Willy Adames",11,63,265,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,261,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"José Ramírez",10,60,252,33,"CLE",25,0.32,0.0128,"Overvalued"
"Freddie Freeman",10,67,239,35,"LAD",27,0.341,0.0126296296296296,"Overvalued"
"Austin Riley",8,50,240,34,"ATL",21.2,0.262,0.0123584905660377,"Overvalued"
"Pete Alonso",13,61,255,41,"BAL",31,0.365,0.0117741935483871,"Overvalued"
"Marcus Semien",8,53,235,25,"NYM",25,0.271,0.01084,"Overvalued"
"Nico Hoerner",4,64,259,33,"CHC",23.5,0.248,0.0105531914893617,"Overvalued"
"Xander Bogaerts",8,52,225,27,"SD",25.454545,0.268,0.0105285716165816,"Overvalued"
"Trea Turner",7,60,266,21,"PHI",27.272727,0.278,0.0101933334352667,"Overvalued"
"Cal Raleigh",7,26,161,18,"SEA",17.5,0.176,0.0100571428571429,"Overvalued"
"Aaron Judge",17,53,214,38,"NYY",40,0.397,0.009925,"Overvalued"
"Mike Trout",14,52,234,31,"LAA",35.541667,0.352,0.00990386860582538,"Overvalued"
"Cody Bellinger",9,64,232,43,"NYY",32.5,0.318,0.00978461538461538,"Overvalued"
"Rafael Devers",8,62,262,32,"SF",31.35,0.298,0.00950558213716108,"Overvalued"
"Matt Chapman",4,61,244,34,"SF",25.166667,0.239,0.0094966886159379,"Overvalued"
"Fernando Tatis Jr.",1,65,242,19,"SD",24.285714,0.209,0.00860588245418685,"Overvalued"
"Colt Emerson",4,15,62,10,"SEA",11.875,0.101,0.00850526315789474,"Overvalued"
"Manny Machado",11,38,229,32,"SD",31.818182,0.268,0.00842285709472653,"Overvalued"
"Dansby Swanson",7,37,205,28,"CHC",25.285714,0.209,0.00826553681655974,"Overvalued"
"Nolan Arenado",8,51,199,30,"ARI",32.5,0.265,0.00815384615384615,"Overvalued"
"Jose Altuve",5,42,175,13,"HOU",25,0.196,0.00784,"Overvalued"
"Alex Bregman",5,64,263,19,"CHC",35,0.262,0.00748571428571429,"Overvalued"
"George Springer",5,36,178,14,"TOR",25,0.178,0.00712,"Overvalued"
"Vladimir Guerrero Jr.",3,66,234,25,"TOR",35.714286,0.24,0.00671999994624,"Overvalued"
"Juan Soto",13,49,178,30,"NYM",51,0.329,0.00645098039215686,"Overvalued"
"Christian Yelich",4,39,138,20,"MIL",26.928571,0.173,0.00642440328526902,"Overvalued"
"Corey Seager",8,30,164,22,"TEX",32.5,0.202,0.00621538461538461,"Overvalued"
"Trevor Story",3,34,165,19,"BOS",23.333333,0.144,0.00617142865959184,"Overvalued"
"Bo Bichette",5,61,261,32,"NYM",42,0.253,0.00602380952380952,"Overvalued"
"Masataka Yoshida",1,30,123,10,"BOS",18,0.104,0.00577777777777778,"Overvalued"
"Roman Anthony",1,25,109,5,"BOS",16.25,0.089,0.00547692307692308,"Overvalued"
"Shohei Ohtani",11,70,232,35,"LAD",70,0.364,0.0052,"Overvalued"
"Mookie Betts",6,22,120,17,"LAD",30.416667,0.15,0.00493150679527116,"Overvalued"
"Jake Cronenworth",1,14,97,4,"SD",11.428571,0.056,0.00490000018375001,"Overvalued"
"Giancarlo Stanton",3,23,90,14,"NYY",25,0.111,0.00444,"Overvalued"
"Carlos Correa",3,34,122,16,"HOU",33.333333,0.144,0.0043200000432,"Overvalued"
"Kyle Tucker",5,54,229,30,"LAD",60,0.232,0.00386666666666667,"Overvalued"
"Javier Báez",2,20,78,6,"DET",23.333333,0.088,0.00377142862530612,"Overvalued"
"Francisco Lindor",2,21,93,5,"NYM",34.1,0.091,0.00266862170087977,"Overvalued"
