"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,127,456,77,"TB",0.7948,"spotrac",0.871,1.09587317564167,1,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.99789029535865,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.9957805907173,"Undervalued"
"Ben Rice",32,110,427,76,"NYY",0.8458,"spotrac",0.778,0.919839205485931,0.993670886075949,"Undervalued"
"Luis García Jr.",24,107,384,78,NA,0.72,"league_minimum_default",0.657,0.9125,0.991561181434599,"Undervalued"
"Yandy Díaz",17,137,453,69,NA,0.72,"league_minimum_default",0.649,0.901388888888889,0.989451476793249,"Undervalued"
"Sal Stewart",25,116,453,87,"CIN",0.7815,"spotrac",0.698,0.893154190658989,0.987341772151899,"Undervalued"
"Jordan Walker",23,129,454,84,"STL",0.7994,"spotrac",0.709,0.886915186389792,0.985232067510548,"Undervalued"
"Dillon Dingler",26,113,424,80,"DET",0.8349,"spotrac",0.703,0.842017008024913,0.983122362869198,"Undervalued"
"Julio Rodríguez",19,110,428,52,NA,0.72,"league_minimum_default",0.596,0.827777777777778,0.981012658227848,"Undervalued"
"Miguel Vargas",25,102,434,68,"CHW",0.8057,"spotrac",0.656,0.814198833312647,0.978902953586498,"Undervalued"
"Andy Pages",19,125,463,76,"LAD",0.8,"spotrac",0.641,0.80125,0.976793248945148,"Undervalued"
"Colson Montgomery",26,91,425,68,"CHW",0.7985,"spotrac",0.637,0.797745773324984,0.974683544303797,"Undervalued"
"Jac Caglianone",21,109,406,53,"KC",0.784,"spotrac",0.621,0.792091836734694,0.972573839662447,"Undervalued"
"Wilyer Abreu",21,113,445,64,"BOS",0.81,"spotrac",0.633,0.781481481481481,0.970464135021097,"Undervalued"
"TJ Rumfield",13,123,419,59,NA,0.72,"league_minimum_default",0.551,0.765277777777778,0.968354430379747,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.966244725738397,"Undervalued"
"Elly De La Cruz",20,106,395,56,"CIN",0.8,"spotrac",0.598,0.7475,0.964135021097046,"Undervalued"
"Drake Baldwin",20,105,383,61,"ATL",0.8,"spotrac",0.595,0.74375,0.962025316455696,"Undervalued"
"Jonathan Aranda",15,125,439,73,"TB",0.7964,"spotrac",0.585,0.73455549974887,0.959915611814346,"Undervalued"
"Iván Herrera",13,113,453,51,NA,0.72,"league_minimum_default",0.521,0.723611111111111,0.957805907172996,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.955696202531646,"Undervalued"
"Otto Lopez",9,148,471,53,"MIA",0.8105,"spotrac",0.57,0.703269586674892,0.953586497890295,"Undervalued"
"Brooks Lee",17,106,429,62,"MIN",0.79305,"spotrac",0.556,0.701090725679339,0.951476793248945,"Undervalued"
"Daylen Lile",15,113,458,64,"WSH",0.786,"spotrac",0.549,0.698473282442748,0.949367088607595,"Undervalued"
"Carson Benge",13,120,438,47,"NYM",0.78,"spotrac",0.542,0.694871794871795,0.947257383966245,"Undervalued"
"Liam Hicks",16,108,380,71,"TB",0.79,"spotrac",0.548,0.693670886075949,0.945147679324895,"Undervalued"
"Cole Young",14,116,442,52,"SEA",0.7861,"spotrac",0.544,0.692023915532375,0.943037974683544,"Undervalued"
"Jazz Chisholm Jr.",17,85,390,48,NA,0.72,"league_minimum_default",0.493,0.684722222222222,0.940928270042194,"Undervalued"
"Kody Clemens",20,90,392,56,"MIN",0.8039,"spotrac",0.55,0.68416469710163,0.938818565400844,"Undervalued"
"Mauricio Dubón",10,114,432,61,NA,0.72,"league_minimum_default",0.482,0.669444444444444,0.936708860759494,"Undervalued"
"Chase DeLauter",13,110,389,57,"CLE",0.78,"spotrac",0.512,0.656410256410256,0.934599156118143,"Undervalued"
"Chase Meidroth",12,116,420,48,"CHW",0.7891,"spotrac",0.516,0.653909517171461,0.932489451476793,"Undervalued"
"Dominic Canzone",19,80,315,50,"SEA",0.7966,"spotrac",0.506,0.635199598292744,0.930379746835443,"Undervalued"
"Carter Jensen",16,88,397,55,"KC",0.78115,"spotrac",0.488,0.624719964155412,0.928270042194093,"Undervalued"
"Michael Busch",14,112,458,63,"CHC",0.86,"spotrac",0.532,0.618604651162791,0.926160337552743,"Undervalued"
"Nick Gonzales",6,135,440,53,"PIT",0.8016,"spotrac",0.489,0.610029940119761,0.924050632911392,"Undervalued"
"Jeremy Peña",13,85,293,38,NA,0.72,"league_minimum_default",0.437,0.606944444444445,0.921940928270042,"Undervalued"
"Heriberto Hernández",17,66,293,46,NA,0.72,"league_minimum_default",0.436,0.605555555555556,0.919831223628692,"Undervalued"
"Cam Smith",16,88,392,44,"HOU",0.8099,"spotrac",0.488,0.602543523891839,0.917721518987342,"Undervalued"
"Eugenio Suárez",17,64,314,44,NA,0.72,"league_minimum_default",0.43,0.597222222222222,0.915611814345992,"Undervalued"
"Kyle Stowers",16,85,351,52,"MIA",0.8042,"spotrac",0.479,0.595622979358368,0.913502109704641,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.911392405063291,"Undervalued"
"Xavier Edwards",6,125,441,46,"MIA",0.804,"spotrac",0.459,0.57089552238806,0.909282700421941,"Undervalued"
"José Caballero",12,78,322,41,NA,0.72,"league_minimum_default",0.402,0.558333333333333,0.907172995780591,"Undervalued"
"Brayan Rocchio",9,104,414,50,"CLE",0.7976,"spotrac",0.438,0.549147442326981,0.905063291139241,"Undervalued"
"Caleb Durbin",11,94,378,55,"BOS",0.796,"spotrac",0.436,0.547738693467337,0.90295358649789,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.90084388185654,"Undervalued"
"Kyle Karros",10,90,340,44,"COL",0.782,"spotrac",0.41,0.524296675191816,0.89873417721519,"Undervalued"
"Teoscar Hernández",11,74,299,42,NA,0.72,"league_minimum_default",0.376,0.522222222222222,0.89662447257384,"Undervalued"
"Andrés Giménez",8,87,363,48,NA,0.72,"league_minimum_default",0.373,0.518055555555556,0.894514767932489,"Undervalued"
"Angel Martínez",12,67,277,43,NA,0.72,"league_minimum_default",0.369,0.5125,0.892405063291139,"Undervalued"
"José Ramírez",10,76,326,37,NA,0.72,"league_minimum_default",0.368,0.511111111111111,0.890295358649789,"Undervalued"
"Sam Antonacci",8,95,342,35,"CHW",0.78,"spotrac",0.397,0.508974358974359,0.888185654008439,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.886075949367089,"Undervalued"
"Ronald Acuña Jr.",12,63,258,30,NA,0.72,"league_minimum_default",0.357,0.495833333333333,0.883966244725738,"Undervalued"
"Coby Mayo",15,60,281,45,"BAL",0.7908,"spotrac",0.39,0.493171471927162,0.881856540084388,"Undervalued"
"Nolan Schanuel",7,100,370,42,"LAA",0.81,"spotrac",0.398,0.491358024691358,0.879746835443038,"Undervalued"
"Chandler Simpson",0,128,417,25,"TB",0.7851,"spotrac",0.384,0.489109667558273,0.877637130801688,"Undervalued"
"Luke Keaschall",6,99,377,35,"MIN",0.7882,"spotrac",0.381,0.483379852829231,0.875527426160338,"Undervalued"
"Jacob Young",10,81,327,43,"WSH",0.7942,"spotrac",0.383,0.482246285570385,0.873417721518987,"Undervalued"
"Wyatt Langford",13,68,269,31,"TEX",0.805,"spotrac",0.386,0.479503105590062,0.871308016877637,"Undervalued"
