"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",18,58,226,28,"MIN",14.285714,0.426,0.0298200005964,"Overvalued"
"Yordan Alvarez",22,75,237,48,"HOU",19.166667,0.533,0.0278086951685444,"Overvalued"
"Corbin Carroll",10,65,228,31,"ARI",13.875,0.335,0.0241441441441441,"Overvalued"
"Tyler Soderstrom",8,52,228,30,"ATH",12.285714,0.268,0.0218139539956733,"Overvalued"
"Willson Contreras",13,64,215,39,"BOS",17.5,0.374,0.0213714285714286,"Overvalued"
"Matt Olson",17,69,258,47,"ATL",21,0.445,0.0211904761904762,"Overvalued"
"Bryan Reynolds",6,61,232,39,"PIT",13.34375,0.267,0.0200093676814988,"Overvalued"
"Ronald Acuña Jr.",7,49,193,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Pete Crow-Armstrong",11,63,244,32,"CHC",19.166667,0.343,0.0178956518626843,"Overvalued"
"Ketel Marte",11,60,244,37,"ARI",19.416667,0.334,0.017201716442889,"Overvalued"
"Kyle Schwarber",23,56,235,40,"PHI",30,0.49,0.0163333333333333,"Overvalued"
"Jackson Chourio",4,36,123,16,"MIL",10.25,0.164,0.016,"Overvalued"
"Seiya Suzuki",9,47,190,21,"CHC",17,0.267,0.0157058823529412,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Bryce Harper",14,60,227,37,"PHI",25.384615,0.376,0.0148121214365473,"Overvalued"
"Jackson Merrill",6,46,228,24,"SD",15,0.222,0.0148,"Overvalued"
"Josh Naylor",6,62,241,26,"SEA",18.5,0.27,0.0145945945945946,"Overvalued"
"Andrew Benintendi",6,44,186,30,"CHW",15,0.216,0.0144,"Overvalued"
"Kevin McGonigle",4,69,237,24,"DET",18.75,0.263,0.0140266666666667,"Overvalued"
"Brandon Nimmo",7,60,241,22,"TEX",20.25,0.278,0.0137283950617284,"Overvalued"
"Jung Hoo Lee",3,71,220,22,"SF",18.833333,0.255,0.0135398232484924,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Willy Adames",11,63,260,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,261,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"José Ramírez",10,59,248,33,"CLE",25,0.317,0.01268,"Overvalued"
